time_millisec,led41,led42,led43,led44,led45,led46,led47,led48,led49,label,time counter
498,-1381,464,2138,-112,513,1958,-269,955,2980,1,
508,-1379,475,2136,-116,508,1953,-274,955,2979,1,
518,-1377,486,2134,-120,503,1948,-279,955,2978,1,
526,-1375,497,2132,-124,498,1943,-284,955,2977,1,
538,-1373,508,2130,-128,493,1938,-289,955,2976,1,
547,-1371,519,2128,-132,488,1933,-294,955,2975,1,
558,-1369,530,2126,-136,483,1928,-299,955,2974,1,
568,-1367,541,2124,-140,478,1923,-304,955,2973,1,
578,-1365,552,2122,-144,473,1918,-309,955,2972,1,
587,-1363,563,2120,-148,468,1913,-314,955,2971,1,
599,-1361,574,2118,-152,463,1908,-319,955,2970,1,
608,-1359,585,2116,-156,458,1903,-324,955,2969,1,
619,-1357,596,2114,-160,453,1898,-329,955,2968,1,
628,-1355,607,2112,-164,448,1893,-334,955,2967,1,
639,-1353,618,2110,-168,443,1888,-339,955,2966,1,
644,-1351,629,2108,-172,438,1883,-344,955,2965,1,
657,-1349,640,2106,-176,433,1878,-349,955,2964,1,
667,-1347,651,2104,-180,428,1873,-354,955,2963,1,
679,-1345,662,2102,-184,423,1868,-359,955,2962,1,
688,-1343,673,2100,-188,418,1863,-364,955,2961,1,
697,-1341,684,2098,-192,413,1858,-369,955,2960,1,
707,-1339,695,2096,-196,408,1853,-374,955,2959,1,
718,-1337,706,2094,-200,403,1848,-379,955,2958,1,
727,-1335,717,2092,-204,398,1843,-384,955,2957,1,
738,-1333,728,2090,-208,393,1838,-389,955,2956,1,
746,-1331,739,2088,-212,388,1833,-394,955,2955,1,
760,-1329,750,2086,-216,383,1828,-399,955,2954,1,
768,-1327,761,2084,-220,378,1823,-404,955,2953,1,
778,-1325,772,2082,-224,373,1818,-409,955,2952,1,
788,-1323,783,2080,-228,368,1813,-414,955,2951,1,
799,-1321,794,2078,-232,363,1808,-419,955,2950,1,
809,-1319,805,2076,-236,358,1803,-424,955,2949,1,
819,-1317,816,2074,-240,353,1798,-429,955,2948,1,
827,-1315,827,2072,-244,348,1793,-434,955,2947,1,
839,-1313,838,2070,-248,343,1788,-439,955,2946,1,
848,-1311,849,2068,-252,338,1783,-444,955,2945,1,
867,-1309,860,2066,-256,333,1778,-449,955,2944,1,
868,-1307,871,2064,-260,328,1773,-454,955,2943,1,
880,-1305,882,2062,-264,323,1768,-459,955,2942,1,
889,-1303,893,2060,-268,318,1763,-464,955,2941,1,
899,-1301,904,2058,-272,313,1758,-469,955,2940,1,
908,-1299,915,2056,-276,308,1753,-474,955,2939,1,
921,-1297,926,2054,-280,303,1748,-479,955,2938,1,
929,-1295,937,2052,-284,298,1743,-484,955,2937,1,
939,-1293,948,2050,-288,293,1738,-489,955,2936,1,
948,-1291,959,2048,-292,288,1733,-494,955,2935,1,
960,-1289,970,2046,-296,283,1728,-499,955,2934,1,
969,-1287,981,2044,-300,278,1723,-504,955,2933,1,
979,-1285,992,2042,-304,273,1718,-509,955,2932,1,
987,-1283,1003,2040,-308,268,1713,-514,955,2931,1,
1000,-1219,1092,2048,-236,326,1729,-446,977,2943,1,
1009,-1216,1092,2046,-240,332,1734,-441,984,2948,1,
1019,-1213,1092,2044,-244,338,1739,-436,991,2953,1,
1028,-1210,1092,2042,-248,344,1744,-431,998,2958,1,
1040,-1207,1092,2040,-252,350,1749,-426,1005,2963,1,
1048,-1204,1092,2038,-256,356,1754,-421,1012,2968,1,
1059,-1201,1092,2036,-260,362,1759,-416,1019,2973,1,
1068,-1198,1092,2034,-264,368,1764,-411,1026,2978,1,
1080,-1195,1092,2032,-268,374,1769,-406,1033,2983,1,
1089,-1192,1092,2030,-272,380,1774,-401,1040,2988,1,
1099,-1189,1092,2028,-276,386,1779,-396,1047,2993,1,
1109,-1186,1092,2026,-280,392,1784,-391,1054,2998,1,
1120,-1183,1092,2024,-284,398,1789,-386,1061,3003,1,
1129,-1180,1092,2022,-288,404,1794,-381,1068,3008,1,
1148,-1177,1092,2020,-292,410,1799,-376,1075,3013,1,
1150,-1174,1092,2018,-296,416,1804,-371,1082,3018,1,
1169,-1171,1092,2016,-300,422,1809,-366,1089,3023,1,
1170,-1168,1092,2014,-304,428,1814,-361,1096,3028,1,
1189,-1165,1092,2012,-308,434,1819,-356,1103,3033,1,
1191,-1162,1092,2010,-312,440,1824,-351,1110,3038,1,
1209,-1159,1092,2008,-316,446,1829,-346,1117,3043,1,
1210,-1156,1092,2006,-320,452,1834,-341,1124,3048,1,
1229,-1153,1092,2004,-324,458,1839,-336,1131,3053,1,
1231,-1150,1092,2002,-328,464,1844,-331,1138,3058,1,
1249,-1147,1092,2000,-332,470,1849,-326,1145,3063,1,
1251,-1144,1092,1998,-336,476,1854,-321,1152,3068,1,
1269,-1141,1092,1996,-340,482,1859,-316,1159,3073,1,
1271,-1138,1092,1994,-344,488,1864,-311,1166,3078,1,
1289,-1135,1092,1992,-348,494,1869,-306,1173,3083,1,
1292,-1132,1092,1990,-352,500,1874,-301,1180,3088,1,
1303,-1129,1092,1988,-356,506,1879,-296,1187,3093,1,
1310,-1126,1092,1986,-360,512,1884,-291,1194,3098,1,
1321,-1123,1092,1984,-364,518,1889,-286,1201,3103,1,
1329,-1120,1092,1982,-368,524,1894,-281,1208,3108,1,
1341,-1117,1092,1980,-372,530,1899,-276,1215,3113,1,
1351,-1114,1092,1978,-376,536,1904,-271,1222,3118,1,
1357,-1111,1092,1976,-380,542,1909,-266,1229,3123,1,
1370,-1108,1092,1974,-384,548,1914,-261,1236,3128,1,
1381,-1105,1092,1972,-388,554,1919,-256,1243,3133,1,
1390,-1102,1092,1970,-392,560,1924,-251,1250,3138,1,
1408,-1099,1092,1968,-396,566,1929,-246,1257,3143,1,
1409,-1096,1092,1966,-400,572,1934,-241,1264,3148,1,
1428,-1093,1092,1964,-404,578,1939,-236,1271,3153,1,
1430,-1090,1092,1962,-408,584,1944,-231,1278,3158,1,
1448,-1087,1092,1960,-412,590,1949,-226,1285,3163,1,
1451,-1084,1092,1958,-416,596,1954,-221,1292,3168,1,
1468,-1081,1092,1956,-420,602,1959,-216,1299,3173,1,
1470,-1078,1092,1954,-424,608,1964,-211,1306,3178,1,
1487,-1075,1092,1952,-428,614,1969,-206,1313,3183,1,
1491,-1072,1092,1950,-432,620,1974,-201,1320,3188,1,
1508,-1069,1092,1948,-436,626,1979,-196,1327,3193,1,
1510,-1066,1092,1946,-440,632,1984,-191,1334,3198,1,
1529,-1063,1092,1944,-444,638,1989,-186,1341,3203,1,
1530,-1060,1092,1942,-448,644,1994,-181,1348,3208,1,
1549,-1057,1092,1940,-452,650,1999,-176,1355,3213,1,
1551,-1054,1092,1938,-456,656,2004,-171,1362,3218,1,
1570,-1051,1092,1936,-460,662,2009,-166,1369,3223,1,
1572,-1048,1092,1934,-464,668,2014,-161,1376,3228,1,
1591,-1045,1092,1932,-468,674,2019,-156,1383,3233,1,
1598,-1042,1092,1930,-472,680,2024,-151,1390,3238,1,
1612,-1039,1092,1928,-476,686,2029,-146,1397,3243,1,
1618,-1036,1092,1926,-480,692,2034,-141,1404,3248,1,
1631,-1033,1092,1924,-484,698,2039,-136,1411,3253,1,
1639,-1030,1092,1922,-488,704,2044,-131,1418,3258,1,
1653,-1027,1092,1920,-492,710,2049,-126,1425,3263,1,
1658,-1024,1092,1918,-496,716,2054,-121,1432,3268,1,
1671,-1021,1092,1916,-500,722,2059,-116,1439,3273,1,
1679,-1018,1092,1914,-504,728,2064,-111,1446,3278,1,
1694,-1015,1092,1912,-508,734,2069,-106,1453,3283,1,
1701,-1012,1092,1910,-512,740,2074,-101,1460,3288,1,
1712,-1009,1092,1908,-516,746,2079,-96,1467,3293,1,
1720,-1006,1092,1906,-520,752,2084,-91,1474,3298,1,
1733,-1003,1092,1904,-524,758,2089,-86,1481,3303,1,
1740,-1000,1092,1902,-528,764,2094,-81,1488,3308,1,
1753,-997,1092,1900,-532,770,2099,-76,1495,3313,1,
1759,-994,1092,1898,-536,776,2104,-71,1502,3318,1,
1772,-991,1092,1896,-540,782,2109,-66,1509,3323,1,
1780,-988,1092,1894,-544,788,2114,-61,1516,3328,1,
1792,-985,1092,1892,-548,794,2119,-56,1523,3333,1,
1797,-982,1092,1890,-552,800,2124,-51,1530,3338,1,
1813,-979,1092,1888,-556,806,2129,-46,1537,3343,1,
1819,-976,1092,1886,-560,812,2134,-41,1544,3348,1,
1833,-973,1092,1884,-564,818,2139,-36,1551,3353,1,
1839,-970,1092,1882,-568,824,2144,-31,1558,3358,1,
1854,-967,1092,1880,-572,830,2149,-26,1565,3363,1,
1860,-964,1092,1878,-576,836,2154,-21,1572,3368,1,
1873,-961,1092,1876,-580,842,2159,-16,1579,3373,1,
1881,-958,1092,1874,-584,848,2164,-11,1586,3378,1,
1892,-955,1092,1872,-588,854,2169,-6,1593,3383,1,
1900,-952,1092,1870,-592,860,2174,-1,1600,3388,1,
1914,-949,1092,1868,-596,866,2179,4,1607,3393,1,
1921,-946,1092,1866,-600,872,2184,9,1614,3398,1,
1933,-943,1092,1864,-604,878,2189,14,1621,3403,1,
1942,-940,1092,1862,-608,884,2194,19,1628,3408,1,
1962,-937,1092,1860,-612,890,2199,24,1635,3413,1,
1971,-934,1092,1858,-616,896,2204,29,1642,3418,1,
1981,-931,1092,1856,-620,902,2209,34,1649,3423,1,
1992,-928,1092,1854,-624,908,2214,39,1656,3428,1,
2003,-925,1092,1852,-628,914,2219,44,1663,3433,1,
2012,-917,1180,1941,-538,970,2307,74,1751,3523,1,
2019,-917,1174,1946,-527,964,2303,69,1743,3519,1,
2030,-917,1168,1951,-516,958,2299,64,1735,3515,1,
2041,-917,1162,1956,-505,952,2295,59,1727,3511,1,
2050,-917,1156,1961,-494,946,2291,54,1719,3507,1,
2059,-917,1150,1966,-483,940,2287,49,1711,3503,1,
2073,-917,1144,1971,-472,934,2283,44,1703,3499,1,
2081,-917,1138,1976,-461,928,2279,39,1695,3495,1,
2090,-917,1132,1981,-450,922,2275,34,1687,3491,1,
2101,-917,1126,1986,-439,916,2271,29,1679,3487,1,
2113,-917,1120,1991,-428,910,2267,24,1671,3483,1,
2122,-917,1114,1996,-417,904,2263,19,1663,3479,1,
2132,-917,1108,2001,-406,898,2259,14,1655,3475,1,
2141,-917,1102,2006,-395,892,2255,9,1647,3471,1,
2150,-917,1096,2011,-384,886,2251,4,1639,3467,1,
2162,-917,1090,2016,-373,880,2247,-1,1631,3463,1,
2170,-917,1084,2021,-362,874,2243,-6,1623,3459,1,
2184,-917,1078,2026,-351,868,2239,-11,1615,3455,1,
2190,-917,1072,2031,-340,862,2235,-16,1607,3451,1,
2202,-917,1066,2036,-329,856,2231,-21,1599,3447,1,
2209,-917,1060,2041,-318,850,2227,-26,1591,3443,1,
2223,-917,1054,2046,-307,844,2223,-31,1583,3439,1,
2232,-917,1048,2051,-296,838,2219,-36,1575,3435,1,
2242,-917,1042,2056,-285,832,2215,-41,1567,3431,1,
2251,-917,1036,2061,-274,826,2211,-46,1559,3427,1,
2261,-917,1030,2066,-263,820,2207,-51,1551,3423,1,
2272,-917,1024,2071,-252,814,2203,-56,1543,3419,1,
2281,-917,1018,2076,-241,808,2199,-61,1535,3415,1,
2293,-917,1012,2081,-230,802,2195,-66,1527,3411,1,
2302,-917,1006,2086,-219,796,2191,-71,1519,3407,1,
2314,-917,1000,2091,-208,790,2187,-76,1511,3403,1,
2323,-917,994,2096,-197,784,2183,-81,1503,3399,1,
2332,-917,988,2101,-186,778,2179,-86,1495,3395,1,
2342,-917,982,2106,-175,772,2175,-91,1487,3391,1,
2353,-917,976,2111,-164,766,2171,-96,1479,3387,1,
2362,-917,970,2116,-153,760,2167,-101,1471,3383,1,
2373,-917,964,2121,-142,754,2163,-106,1463,3379,1,
2382,-917,958,2126,-131,748,2159,-111,1455,3375,1,
2394,-917,952,2131,-120,742,2155,-116,1447,3371,1,
2404,-917,946,2136,-109,736,2151,-121,1439,3367,1,
2413,-917,940,2141,-98,730,2147,-126,1431,3363,1,
2423,-917,934,2146,-87,724,2143,-131,1423,3359,1,
2435,-917,928,2151,-76,718,2139,-136,1415,3355,1,
2444,-917,922,2156,-65,712,2135,-141,1407,3351,1,
2453,-917,916,2161,-54,706,2131,-146,1399,3347,1,
2463,-917,910,2166,-43,700,2127,-151,1391,3343,1,
2475,-917,904,2171,-32,694,2123,-156,1383,3339,1,
2492,-917,898,2176,-21,688,2119,-161,1375,3335,1,
2495,-917,892,2181,-10,682,2115,-166,1367,3331,1,
2513,-917,886,2186,1,676,2111,-171,1359,3327,1,
2521,-917,880,2191,12,670,2107,-176,1351,3323,1,
2535,-917,874,2196,23,664,2103,-181,1343,3319,1,
2543,-917,868,2201,34,658,2099,-186,1335,3315,1,
2554,-917,862,2206,45,652,2095,-191,1327,3311,1,
2562,-917,856,2211,56,646,2091,-196,1319,3307,1,
2574,-917,850,2216,67,640,2087,-201,1311,3303,1,
2582,-917,844,2221,78,634,2083,-206,1303,3299,1,
2593,-917,838,2226,89,628,2079,-211,1295,3295,1,
2602,-917,832,2231,100,622,2075,-216,1287,3291,1,
2614,-917,826,2236,111,616,2071,-221,1279,3287,1,
2623,-917,820,2241,122,610,2067,-226,1271,3283,1,
2633,-917,814,2246,133,604,2063,-231,1263,3279,1,
2641,-917,808,2251,144,598,2059,-236,1255,3275,1,
2654,-917,802,2256,155,592,2055,-241,1247,3271,1,
2662,-917,796,2261,166,586,2051,-246,1239,3267,1,
2671,-917,790,2266,177,580,2047,-251,1231,3263,1,
2676,-917,784,2271,188,574,2043,-256,1223,3259,1,
2692,-917,778,2276,199,568,2039,-261,1215,3255,1,
2695,-917,772,2281,210,562,2035,-266,1207,3251,1,
2704,-917,766,2286,221,556,2031,-271,1199,3247,1,
2712,-917,760,2291,232,550,2027,-276,1191,3243,1,
2723,-917,754,2296,243,544,2023,-281,1183,3239,1,
2734,-917,748,2301,254,538,2019,-286,1175,3235,1,
2744,-917,742,2306,265,532,2015,-291,1167,3231,1,
2753,-917,736,2311,276,526,2011,-296,1159,3227,1,
2761,-917,730,2316,287,520,2007,-301,1151,3223,1,
2772,-917,724,2321,298,514,2003,-306,1143,3219,1,
2783,-917,718,2326,309,508,1999,-311,1135,3215,1,
2791,-917,712,2331,320,502,1995,-316,1127,3211,1,
2800,-917,706,2336,331,496,1991,-321,1119,3207,1,
2812,-917,700,2341,342,490,1987,-326,1111,3203,1,
2822,-917,694,2346,353,484,1983,-331,1103,3199,1,
2831,-917,688,2351,364,478,1979,-336,1095,3195,1,
2841,-917,682,2356,375,472,1975,-341,1087,3191,1,
2852,-917,676,2361,386,466,1971,-346,1079,3187,1,
2860,-917,670,2366,397,460,1967,-351,1071,3183,1,
2871,-917,664,2371,408,454,1963,-356,1063,3179,1,
2882,-917,658,2376,419,448,1959,-361,1055,3175,1,
2893,-917,652,2381,430,442,1955,-366,1047,3171,1,
2904,-917,646,2386,441,436,1951,-371,1039,3167,1,
2914,-917,640,2391,452,430,1947,-376,1031,3163,1,
2924,-917,634,2396,463,424,1943,-381,1023,3159,1,
2936,-917,628,2401,474,418,1939,-386,1015,3155,1,
2944,-917,622,2406,485,412,1935,-391,1007,3151,1,
2956,-917,616,2411,496,406,1931,-396,999,3147,1,
2966,-917,610,2416,507,400,1927,-401,991,3143,1,
2975,-917,604,2421,518,394,1923,-406,983,3139,1,
2985,-917,598,2426,529,388,1919,-411,975,3135,1,
2998,-917,592,2431,540,382,1915,-416,967,3131,1,
3012,-838,664,2490,580,434,1992,-384,1034,3153,1,
3016,-843,662,2487,575,433,1988,-380,1036,3156,1,
3033,-848,660,2484,570,432,1984,-376,1038,3159,1,
3037,-853,658,2481,565,431,1980,-372,1040,3162,1,
3052,-858,656,2478,560,430,1976,-368,1042,3165,1,
3055,-863,654,2475,555,429,1972,-364,1044,3168,1,
3071,-868,652,2472,550,428,1968,-360,1046,3171,1,
3075,-873,650,2469,545,427,1964,-356,1048,3174,1,
3085,-878,648,2466,540,426,1960,-352,1050,3177,1,
3094,-883,646,2463,535,425,1956,-348,1052,3180,1,
3105,-888,644,2460,530,424,1952,-344,1054,3183,1,
3115,-893,642,2457,525,423,1948,-340,1056,3186,1,
3126,-898,640,2454,520,422,1944,-336,1058,3189,1,
3135,-903,638,2451,515,421,1940,-332,1060,3192,1,
3145,-908,636,2448,510,420,1936,-328,1062,3195,1,
3156,-913,634,2445,505,419,1932,-324,1064,3198,1,
3166,-918,632,2442,500,418,1928,-320,1066,3201,1,
3174,-923,630,2439,495,417,1924,-316,1068,3204,1,
3185,-928,628,2436,490,416,1920,-312,1070,3207,1,
3195,-933,626,2433,485,415,1916,-308,1072,3210,1,
3205,-938,624,2430,480,414,1912,-304,1074,3213,1,
3214,-943,622,2427,475,413,1908,-300,1076,3216,1,
3223,-948,620,2424,470,412,1904,-296,1078,3219,1,
3235,-953,618,2421,465,411,1900,-292,1080,3222,1,
3245,-958,616,2418,460,410,1896,-288,1082,3225,1,
3253,-963,614,2415,455,409,1892,-284,1084,3228,1,
3263,-968,612,2412,450,408,1888,-280,1086,3231,1,
3275,-973,610,2409,445,407,1884,-276,1088,3234,1,
3285,-978,608,2406,440,406,1880,-272,1090,3237,1,
3293,-983,606,2403,435,405,1876,-268,1092,3240,1,
3300,-988,604,2400,430,404,1872,-264,1094,3243,1,
3306,-993,602,2397,425,403,1868,-260,1096,3246,1,
3317,-998,600,2394,420,402,1864,-256,1098,3249,1,
3323,-1003,598,2391,415,401,1860,-252,1100,3252,1,
3332,-1008,596,2388,410,400,1856,-248,1102,3255,1,
3338,-1013,594,2385,405,399,1852,-244,1104,3258,1,
3352,-1018,592,2382,400,398,1848,-240,1106,3261,1,
3358,-1023,590,2379,395,397,1844,-236,1108,3264,1,
3375,-1028,588,2376,390,396,1840,-232,1110,3267,1,
3379,-1033,586,2373,385,395,1836,-228,1112,3270,1,
3393,-1038,584,2370,380,394,1832,-224,1114,3273,1,
3398,-1043,582,2367,375,393,1828,-220,1116,3276,1,
3415,-1048,580,2364,370,392,1824,-216,1118,3279,1,
3419,-1053,578,2361,365,391,1820,-212,1120,3282,1,
3433,-1058,576,2358,360,390,1816,-208,1122,3285,1,
3438,-1063,574,2355,355,389,1812,-204,1124,3288,1,
3455,-1068,572,2352,350,388,1808,-200,1126,3291,1,
3459,-1073,570,2349,345,387,1804,-196,1128,3294,1,
3474,-1078,568,2346,340,386,1800,-192,1130,3297,1,
3478,-1083,566,2343,335,385,1796,-188,1132,3300,1,
3495,-1088,564,2340,330,384,1792,-184,1134,3303,1,
3497,-1093,562,2337,325,383,1788,-180,1136,3306,1,
3514,-1098,560,2334,320,382,1784,-176,1138,3309,1,
3518,-1103,558,2331,315,381,1780,-172,1140,3312,1,
3535,-1108,556,2328,310,380,1776,-168,1142,3315,1,
3539,-1113,554,2325,305,379,1772,-164,1144,3318,1,
3554,-1118,552,2322,300,378,1768,-160,1146,3321,1,
3559,-1123,550,2319,295,377,1764,-156,1148,3324,1,
3574,-1128,548,2316,290,376,1760,-152,1150,3327,1,
3579,-1133,546,2313,285,375,1756,-148,1152,3330,1,
3593,-1138,544,2310,280,374,1752,-144,1154,3333,1,
3599,-1143,542,2307,275,373,1748,-140,1156,3336,1,
3614,-1148,540,2304,270,372,1744,-136,1158,3339,1,
3619,-1153,538,2301,265,371,1740,-132,1160,3342,1,
3634,-1158,536,2298,260,370,1736,-128,1162,3345,1,
3639,-1163,534,2295,255,369,1732,-124,1164,3348,1,
3654,-1168,532,2292,250,368,1728,-120,1166,3351,1,
3659,-1173,530,2289,245,367,1724,-116,1168,3354,1,
3674,-1178,528,2286,240,366,1720,-112,1170,3357,1,
3679,-1183,526,2283,235,365,1716,-108,1172,3360,1,
3695,-1188,524,2280,230,364,1712,-104,1174,3363,1,
3699,-1193,522,2277,225,363,1708,-100,1176,3366,1,
3715,-1198,520,2274,220,362,1704,-96,1178,3369,1,
3720,-1203,518,2271,215,361,1700,-92,1180,3372,1,
3734,-1208,516,2268,210,360,1696,-88,1182,3375,1,
3740,-1213,514,2265,205,359,1692,-84,1184,3378,1,
3754,-1218,512,2262,200,358,1688,-80,1186,3381,1,
3759,-1223,510,2259,195,357,1684,-76,1188,3384,1,
3774,-1228,508,2256,190,356,1680,-72,1190,3387,1,
3779,-1233,506,2253,185,355,1676,-68,1192,3390,1,
3796,-1238,504,2250,180,354,1672,-64,1194,3393,1,
3799,-1243,502,2247,175,353,1668,-60,1196,3396,1,
3815,-1248,500,2244,170,352,1664,-56,1198,3399,1,
3819,-1253,498,2241,165,351,1660,-52,1200,3402,1,
3835,-1258,496,2238,160,350,1656,-48,1202,3405,1,
3840,-1263,494,2235,155,349,1652,-44,1204,3408,1,
3855,-1268,492,2232,150,348,1648,-40,1206,3411,1,
3860,-1273,490,2229,145,347,1644,-36,1208,3414,1,
3876,-1278,488,2226,140,346,1640,-32,1210,3417,1,
3879,-1283,486,2223,135,345,1636,-28,1212,3420,1,
3894,-1288,484,2220,130,344,1632,-24,1214,3423,1,
3901,-1293,482,2217,125,343,1628,-20,1216,3426,1,
3915,-1298,480,2214,120,342,1624,-16,1218,3429,1,
3920,-1303,478,2211,115,341,1620,-12,1220,3432,1,
3935,-1308,476,2208,110,340,1616,-8,1222,3435,1,
3940,-1313,474,2205,105,339,1612,-4,1224,3438,1,
3955,-1318,472,2202,100,338,1608,0,1226,3441,1,
3960,-1323,470,2199,95,337,1604,4,1228,3444,1,
3974,-1328,468,2196,90,336,1600,8,1230,3447,1,
3980,-1319,522,2283,126,424,1677,86,1322,3545,1,
3995,-1321,518,2274,117,424,1686,86,1327,3537,1,
4000,-1323,514,2265,108,424,1695,86,1332,3529,1,
4014,-1325,510,2256,99,424,1704,86,1337,3521,2,4015
4020,-1327,506,2247,90,424,1713,86,1342,3513,2,
4035,-1329,502,2238,81,424,1722,86,1347,3505,2,
4040,-1331,498,2229,72,424,1731,86,1352,3497,2,
4055,-1333,494,2220,63,424,1740,86,1357,3489,2,
4061,-1335,490,2211,54,424,1749,86,1362,3481,2,
4075,-1337,486,2202,45,424,1758,86,1367,3473,2,
4080,-1339,482,2193,36,424,1767,86,1372,3465,2,
4095,-1341,478,2184,27,424,1776,86,1377,3457,2,
4100,-1343,474,2175,18,424,1785,86,1382,3449,2,
4116,-1345,470,2166,9,424,1794,86,1387,3441,2,
4120,-1347,466,2157,0,424,1803,86,1392,3433,2,
4135,-1349,462,2148,-9,424,1812,86,1397,3425,2,
4140,-1351,458,2139,-18,424,1821,86,1402,3417,2,
4156,-1353,454,2130,-27,424,1830,86,1407,3409,2,
4161,-1355,450,2121,-36,424,1839,86,1412,3401,2,
4175,-1357,446,2112,-45,424,1848,86,1417,3393,2,
4181,-1359,442,2103,-54,424,1857,86,1422,3385,2,
4196,-1361,438,2094,-63,424,1866,86,1427,3377,2,
4201,-1363,434,2085,-72,424,1875,86,1432,3369,2,
4216,-1365,430,2076,-81,424,1884,86,1437,3361,2,
4220,-1367,426,2067,-90,424,1893,86,1442,3353,2,
4236,-1369,422,2058,-99,424,1902,86,1447,3345,2,
4240,-1371,418,2049,-108,424,1911,86,1452,3337,2,
4256,-1373,414,2040,-117,424,1920,86,1457,3329,2,
4260,-1375,410,2031,-126,424,1929,86,1462,3321,2,
4276,-1377,406,2022,-135,424,1938,86,1467,3313,2,
4281,-1379,402,2013,-144,424,1947,86,1472,3305,2,
4296,-1381,398,2004,-153,424,1956,86,1477,3297,2,
4300,-1383,394,1995,-162,424,1965,86,1482,3289,2,
4316,-1385,390,1986,-171,424,1974,86,1487,3281,2,
4321,-1387,386,1977,-180,424,1983,86,1492,3273,2,
4336,-1389,382,1968,-189,424,1992,86,1497,3265,2,
4341,-1391,378,1959,-198,424,2001,86,1502,3257,2,
4355,-1393,374,1950,-207,424,2010,86,1507,3249,2,
4361,-1395,370,1941,-216,424,2019,86,1512,3241,2,
4375,-1397,366,1932,-225,424,2028,86,1517,3233,2,
4381,-1399,362,1923,-234,424,2037,86,1522,3225,2,
4396,-1401,358,1914,-243,424,2046,86,1527,3217,2,
4402,-1403,354,1905,-252,424,2055,86,1532,3209,2,
4416,-1405,350,1896,-261,424,2064,86,1537,3201,2,
4421,-1407,346,1887,-270,424,2073,86,1542,3193,2,
4437,-1409,342,1878,-279,424,2082,86,1547,3185,2,
4442,-1411,338,1869,-288,424,2091,86,1552,3177,2,
4456,-1413,334,1860,-297,424,2100,86,1557,3169,2,
4462,-1415,330,1851,-306,424,2109,86,1562,3161,2,
4476,-1417,326,1842,-315,424,2118,86,1567,3153,2,
4481,-1419,322,1833,-324,424,2127,86,1572,3145,2,
4497,-1421,318,1824,-333,424,2136,86,1577,3137,2,
4500,-1423,314,1815,-342,424,2145,86,1582,3129,2,
4517,-1425,310,1806,-351,424,2154,86,1587,3121,2,
